CSAN Test Results
Sum: Measurement #1: passed
Cout: Measurement #1: passed
Ovfl: Measurement #1: passed
Sum: Measurement #2: passed
Cout: Measurement #2: passed
Ovfl: Measurement #2: passed
Sum: Measurement #3: passed
Cout: Measurement #3: passed
Ovfl: Measurement #3: passed
Sum: Measurement #4: passed
Cout: Measurement #4: passed
Ovfl: Measurement #4: passed
Sum: Measurement #5: passed
Cout: Measurement #5: passed
Ovfl: Measurement #5: passed
Sum: Measurement #6: passed
Cout: Measurement #6: passed
Ovfl: Measurement #6: passed
Sum: Measurement #7: passed
Cout: Measurement #7: passed
Ovfl: Measurement #7: passed
Sum: Measurement #8: passed
Cout: Measurement #8: passed
Ovfl: Measurement #8: passed
Sum: Measurement #9: passed
Cout: Measurement #9: passed
Ovfl: Measurement #9: passed
Sum: Measurement #10: passed
Cout: Measurement #10: passed
Ovfl: Measurement #10: passed
Sum: Measurement #11: passed
Cout: Measurement #11: passed
Ovfl: Measurement #11: passed
Sum: Measurement #12: passed
Cout: Measurement #12: passed
Ovfl: Measurement #12: passed
Sum: Measurement #13: passed
Cout: Measurement #13: passed
Ovfl: Measurement #13: passed
Sum: Measurement #14: passed
Cout: Measurement #14: passed
Ovfl: Measurement #14: passed
Sum: Measurement #15: passed
Cout: Measurement #15: passed
Ovfl: Measurement #15: passed
Sum: Measurement #16: passed
Cout: Measurement #16: passed
Ovfl: Measurement #16: passed
Sum: Measurement #17: passed
Cout: Measurement #17: passed
Ovfl: Measurement #17: passed
Sum: Measurement #18: passed
Cout: Measurement #18: passed
Ovfl: Measurement #18: passed
